case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
1,Heart_Rat_FDISCO_20241217_190013,950.4,1.0389,55.228,45.2365,37.134,13.5028,81.5406,55.2315,0,1,4,0.7067
2,brain_rat_FDISCO_20250413_173021,1796.1,1.13763,69.9938,60.3925,54.685,16.231,53.9869,70.007,0,1,4,0.616682
3,Brain_Rat_FDISCO_20241217_182608,1586,1.05,78.76,68.7,58.84,17.04,62.39,78.77,0,1,4,0.7551
4,Heart_mouse_FDISCO_20241217_192550,125.2,1.08,67.02,58.78,46.99,17.67,75.35,67.04,0,1,2,0.7254
5,Brain_mouse_FDISCO_20241217_184003,950.4,1.04,55.23,45.24,37.13,13.5,81.54,55.23,0,1,4,0.8523
6,Kidney_mouse_FDISCO_20241217_184417,210.1,1.08,61.29,52.11,43.38,14.52,71.54,61.3,0,1,2,
7,Kidney_mouse_FDISCO_20241217_185412,210.5,1,46.5379,33.8183,26.5864,14.58,57.76,47.15,0,1,2,0.748
8,Kidney_Mouse_FDISCO_20241224_182231,255.9,1.06,46.08,37.69,31.98,12.32,81.53,46.11,0,2,2,0.732
9,Kidney_Rat_FDISCO_20241224_182857,1019.4,1.05,27.58,23.34,20.64,12.84,72.52,27.64,0,1,4,
10,Kidney_Mouse_FDISCO_20241224_183213,1090.5,1.04,31.77,26.87,22.3,15.01,81.94,31.85,0,1,4,
11,Liver_mouse_FDISCO_20241217_192339,142,1.1,70.96,62.34,48.28,18.27,76.02,70.97,0,1,2,0.7162
12,Liver_Mouse_FDISCO_20241224_182447,417.9,1.03,55.95,46.64,35.5,16.03,89.06,55.98,0,1,3,
13,Lung_Mouse_FDISCO_20241224_181738,243.6,0.612,73.01,59.45,43.3,15.7,109.58,73.02,0,1,3,0.9098
14,Spleen_mouse_FDISCO_20241217_191724,81.2,1.11,49.34,37.64,29.77,11.56,96.59,49.34,0,1,3,0.7664
15,Spleen_Rat_FDISCO_20241217_190844,564.7,1.04,29.01,24.18,22.74,19.33,53.59,29.03,0,1,3,0.7568
16,Stomach_Rat_FDISCO_20241224_180343,1559.8,1.04,58.86,49.63,42.54,13.17,70.21,58.86,0,1,4,0.730155
17,Tongue_Rat_FDISCO_20241217_183344,621.2,1.05167,81.7633,74.3742,69.3051,12.5406,38.0364,81.7723,0,1,3,0.8605
18,bone_rat_FDISCO_20250220_165343,264.6,1.66327,55.6572,51.0552,48.8736,41.5388,32.3069,55.7007,2,1,2,0.7548
19,bone_rat_FDISCO_20250220_165628,321.2,1.52366,50.4455,46.0362,43.3372,32.8155,36.0654,50.5011,2,1,2,0.742388
20,bone_rat_FDISCO_20250220_165913,115.3,1.81093,58.2981,53.7429,48.7549,17.68,41.0639,58.3652,2,1,2,0.78895
21,bone_rat_FDISCO_20250220_170358,17.9,1.59218,62.0982,60.0415,56.5407,26.6846,23.5375,62.2271,1,1,1,0.815908
22,Kidney_mouse_FDISCO_20250218_103909,259.6,1.04237,56.8838,46.5841,33.8605,16.4084,106.184,56.895,0,1,1,
23,kidney_rat_FDISCO_20250218_113623,974.5,1.03961,34.9033,29.4663,21.1232,17.7015,103.956,34.9414,0,1,4,
24,kidney_rat_FDISCO_20250218_113407,952.3,1.03497,39.0689,33.1118,23.7009,18.0054,103.273,39.1278,0,1,4,
25,liver_mouse_FDISCO_20250218_113132,774.5,1.05023,52.9127,41.0496,24.7299,17.1483,134.663,52.9166,0,1,4,0.6959
26,muscle_rat_FDISCO_20250218_105432,529.8,1.07154,74.8704,66.29,50.4662,19.3477,82.805,74.9003,0,1,3,0.765369
27,semibrain_mouse_FDISCO_20250218_105756,194,1.0433,70.094,61.6141,47.5477,18.4214,80.4827,70.1298,0,1,1,0.863679
28,semibrain_mouse_FDISCO_20250218_112442,218,1.00109,54.7372,48.4365,37.2073,18.6466,74.813,54.7947,0,1,1,0.841173
29,spleen_mouse_FDISCO_20250218_110201,120.4,1.00083,37.1981,27.0749,19.6623,12.8484,113.646,37.214,0,1,2,0.8216
30,spleen_rat_FDISCO_20250218_111608,455.6,,24.3647,19.9412,16.2568,13.152,86.4674,24.409,0,1,3,
31,stomatch_FDISCO_20250218_110818,315.6,1.02186,68.8308,61.1202,45.945,19.5964,80.3726,68.8588,0,1,1,0.8416
32,brainslice_mouse_FDISCO_20250305_173009,35.08,1,97.4064,87.865,74.1689,17.3964,58.494,97.4236,0,1,1,0.827237
33,brainslice_mouse_FDISCO_20250305_173109,32.54,1,97.4556,88.0535,73.8203,17.6423,59.3688,97.4715,0,1,1,0.984629
34,brainslice_mouse,76.12,1,82.1717,61.4573,61.4573,15.1786,62.7341,82.179,0,1,1,0.858576
35,brain_rat_FDISCO_20250413_172134,1956,1.15077,67.7385,58.5085,52.5211,14.2018,55.1723,67.75,0,1,4,0.511217
36,brainslice_mouse,88.34,1,84.1666,74.4682,62.9128,16.3877,62.1363,84.1863,0,1,1,0.89166
37,brain_mouse_FDISCO_20250305_173009,457,1.05711,61.7842,51.735,38.1404,17.1772,96.3846,61.8041,0,1,3,0.823319
38,brain_mouse_FDISCO_20250305_173307,454.3,1.04997,63.2135,54.6342,40.5744,18.424,89.8718,63.2389,0,1,3,0.816
39,heart_rat_FDISCO_20250305_172603,669,1.06293,42.8999,33.5192,23.1886,15.6506,118.461,42.909,0,1,3,0.6039
40,instene_rat_FDISCO_20250305_171411,286.2,1.06709,76.4594,66.6881,44.1117,20.6745,105.71,76.4762,0,1,1,0.899581
41,kidney_rat_FDISCO_20250305_171800,737.8,1.0576,42.2695,33.4321,22.6892,16.4607,117.546,42.2739,0,1,4,0.697857
42,kidney_rat_FDISCO_20250305_172421,762.8,1.04864,27.1561,18.2062,13.2819,9.92414,135.617,27.1561,0,1,4,0.75189
43,liver_rat_FDISCO_20250305_170842,732.9,1.08678,40.6799,30.9572,18.4147,16.6378,138.139,40.7,0,1,4,0.643566
